Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
10.21036/TO,"CARNES Y EMBUTIDOS LA ANTIGUA, S.L.",Toledo/MORA,"CP, PP",,MP,
12.17181/TO,"SANCHEZ-MORA GRANADOS, SATURNINO",Toledo/MORA,PP,,,
10.21128/GU,"AGROPECUARIA FRAILE, S.A.",Guadalajara/GUADALAJARA,CP,,,
40.24327/CR,"EL CASTILLO DE BOLAÑOS, S.L.",Ciudad Real/BOLAÑOS DE CALATRAVA,"CS, RW",,,
40.24331/CR,"AZUERTRANS, S.L.U.",Ciudad Real/TORRALBA DE CALATRAVA,CS,,,
12.17223/CR,"GARCIA-HIDALGO MARTIN-BARRAJON, JUAN DE DIOS",Ciudad Real/HERENCIA,PP,,,
26.09981/CR,"GARCIA-HIDALGO MARTIN-BARRAJON, JUAN DE DIOS",Ciudad Real/HERENCIA,PP,,,
40.24390/TO,"SERVICIOS CÁRNICOS IBERVALUE, S.L.",Toledo/SANTA OLALLA,"CS, RW",,,
10.21199/TO,"EMBUTIDOS DEL CENTRO, S.A.",Toledo/CASARRUBIOS DEL MONTE,"RW, MM, MP, PP",,"BL, MP",
40.24585/CU,"PRODEFRI CUENCA, S.L.",Cuenca/CUENCA,CS,,,
10.21362/AB,"MARTINEZ LOPEZ, MARIA CARMEN",Albacete/TAZONA,"MM, MP, PP",,MP,
15.06449/AB,"ROBLEDILLO ENCINAS, FRANCISCO",Albacete/ALBACETE,PP,,,
10.21437/AB,GONZALEZ MADRIGAL JOSE ANTONIO,Albacete/VILLAR DE CHINCHILLA,"MM, MP, PP",,MP,
26.10194/CR,"PEDRIN E HIJOS, S.L.",Ciudad Real/SOLANA (LA),PP,,MP,
40.24817/TO,"RUSTICAS EL CASTAÑAR, S.L.",Toledo/MAZARAMBROZ,CS,,,
40.24818/CU,"EXCLUSIVAS HERMANOS HARO, S.L.",Cuenca/CASAS DE FERNANDO ALONSO,CS,,,
10.21481/TO,"INDUSTRIAS CARNICAS HERMANOS MUÑOZ DIAZ, S.L.",Toledo/RECAS,"CP, MM, MP, PP",,MP,
26.10254/TO,"VIGOGER INDUSTRIAS CARNICAS, S.L.",Toledo/BOROX,PP,,MP,
12.17574/TO,"PESCADOS Y MARISCOS TININ, S.L.",Toledo/TALAVERA DE LA REINA,PP,,,
10.21550/GU,INDUSTRIAS CARNICAS RAMAJO S.L.,Guadalajara/QUER,"CP, MM, MP, PP",,MP,
40.24987/AB,"CASH LA RODA, S.L.",Albacete/RODA (LA),CS,,,
10.21631/TO,EMBUTIDOS ARTESANOS SIERRA DE SAN VICENTE,Toledo/HINOJOSA DE SAN VICENTE,"CP, MM, MP, PP",,MP,
15.06589/CR,"BALCOBO AGROPECUARIA, S.L.",Ciudad Real/HERENCIA,PP,,,
40.25270/AB,"CONGEALBA, S.L.",Albacete/ALBACETE,CS,,,
40.25271/CR,SADA P. A. ANDALUCIA S.A.,Ciudad Real/BOLAÑOS DE CALATRAVA,CS,,,
26.10414/CR,"CONSERVAS ARTESANALES CASTILLA, S.L.",Ciudad Real/VILLAHERMOSA,"RW, PP",,MP,
40.25362/CR,"BAUTISTA GIL, MANUEL",Ciudad Real/BOLAÑOS DE CALATRAVA,CS,,,
40.25453/AB,"ORTEGA RODRIGUEZ, JESUS",Albacete/HELLIN,CS,,,
10.21872/AB,"CORCHUELA 22, S.L.",Albacete/RODA (LA),CS,,,
40.25525/TO,"CONGELADOS DICOMAR, S.L.L.",Toledo/SANTA OLALLA,CS,,,
12.17986/TO,"DELFIN ULTRACONGELADOS, S.A.",Toledo/ONTIGOLA,"PP, FFP",,,
40.25631/CU,"POFRIS, S.L.",Cuenca/SAN CLEMENTE,CS,,,
10.21970/CR,"VEGAJARDIN, S.L.",Ciudad Real/CIUDAD REAL,CS,,,
26.10618/TO,"DELFIN ULTRACONGELADOS, S.A.",Toledo/ONTIGOLA,"CS, PP",,,
26.10619/TO,"HOSTYSERV CLM, S.L.L.",Toledo/SONSECA,PP,,MP,
40.25714/CU,"DIMARSAN LANDETE, S.L.",Cuenca/LANDETE,CS,,,
