Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
40.064665/ZA,"GENERAL MARKETS FOOD IBERICA, S.A.U.",Zamora/ZAMORA,"CS, RW",,,
26.018143/BU,"CARALMEAT, S.L.U.",Burgos/BURGOS,PP,,MP,
10.026592/SA,"JIMESAN GESTION, S.L.",Salamanca/CARBAJOSA DE LA SAGRADA,RW,,MP,
26.018164/SO,"SAN ANDRES SORIA HOSTELERIA, S.L.U.",Soria/SORIA,PP,,MP,
12.023063/VA,"ALEMAR SELECCION, S.L.",Valladolid/VALLADOLID,PP,,,
12.023067/VA,"PESCADOS LA ALONDRA, S.L.",Valladolid/VALLADOLID,"CS, PP, FFP",,,
15.008336/VA,Mª ANGELES MARTIN CARTON,Valladolid/MEDINA DE RIOSECO,"CS, RW, PP",,,
40.064915/VA,LUIS MATE RODRIGO,Valladolid/VALLADOLID,CS,,,
10.026624/SA,"SERVIDESHUESE, S.L.",Salamanca/GUIJUELO,RW,,MP,
10.026627/P,ANGEL ALVARO HIERRO,Palencia/PAREDES DE NAVA,SH,"P, B, C, O, S",,
14.003368/LE,"HUEVOS LEON, S.L.",León/MALILLOS,EPC,,,
10.026636/BU,"CARNICERIAS BEREZO, S.L.",Burgos/BURGOS,"CP, MM, MP",,,
10.026638/SA,"MARDESA SALAMANCA, S.L.",Salamanca/SALAMANCA,PP,,MP,
40.065134/VA,ROSEMARY COELHO DE CARVALHO,Valladolid/VALLADOLID,CS,,,
26.018269/SO,JAVIER LOPEZ GARCIA,Soria/OCENILLA,PP,,,
26.018304/BU,"SANTA ROSALIA GOURMET, S.L.",Burgos/VIZMALO,PP,,MP,
10.026679/VA,"CONTODO, S.L.",Valladolid/SAN MIGUEL DEL ARROYO,PP,,MP,
40.065516/SA,"IPETIS, S.L.",Salamanca/SALAMANCA,"CS, WM",,,
14.003383/SA,Mª ANTONIA MARTIN RONCERO,Salamanca/SANTOS (LOS),EPC,,,
10.026701/SA,"TOBERAL, C.B.",Salamanca/PUEBLA DE SAN MEDEL,"CS, RW",,MP,
10.026702/SA,"AUTENTICO GUIJU, S.L.",Salamanca/GUIJUELO,PP,,MP,
40.065774/SO,"ABEJAR TORRE ROMERO, S.L.",Soria/ABEJAR,CS,,,
10.026711/LE,"CECINAS NIETO, S.L.",León/PRADORREY,"CP, PP",,MP,
10.026736/LE,"RODRIGUEZ TRADICION, S.L.",León/SOTO DE LA VEGA,"MM, MP, PP",,MP,
