Nº RGSEAA (*),Razón Social,Provincia/Localidad,Actividades,Especies (**),Otros Detalles,TSE Feed Ban
12.05043/S,CONSERVAS JUANJO S.L.,Cantabria/SANTOÑA,PP,,,
12.05399/S,CONSERVAS EMILIA S.L.,Cantabria/SANTOÑA,PP,,,
12.05461/S,ALFREDO RUIZ TRUEBA,Cantabria/SANTOÑA,PP,,,
12.05561/S,RECUPERACIONES INDUSTRIALES 2000 S.L.,Cantabria/MALIAÑO,"DC, PC, FFP",,,
12.05562/S,CONSERVAS EL CAPRICHO S.L.,Cantabria/SANTOÑA,PP,,,
12.05793/S,CONSERVAS LEONARDO S.L.,Cantabria/LAREDO,PP,,,
12.06065/S,FRIGORIFICOS ORTIZ S.A.,Cantabria/SANTANDER,PP,,,
12.06559/S,COFRADIA DE PESCADORES DE SAN GINES,Cantabria/COLINDRES,AH,,,
12.06581/S,COFRADIA DE PESCADORES DE SAN VICENTE DE LA BARQUERA,Cantabria/SAN VICENTE DE LA BARQUERA,AH,,,
12.06582/S,COFRADIA DE PESCADORES SAN MARTIN,Cantabria/LAREDO,AH,,,
12.06583/S,PESCADOS BARANDICA S.A.,Cantabria/PEÑACASTILLO,"CS, PP, FFP",,,
12.06609/S,COFRADIA DE PESCADORES DE SANTOÑA,Cantabria/SANTOÑA,AH,,,
12.06630/S,PESCADOS Y MARISCOS EMILIO S.A.,Cantabria/SANTANDER,"CS, PP",,,
12.07021/S,MARISCOS COLOMAR S.L.,Cantabria/SANTANDER,"PP, DC, PC, FFP",,,
12.07337/S,MARIBEL SANTIAÑEZ S.A.,Cantabria/VAL DE SAN VICENTE,"PP, FFP",,,
12.07477/S,JMC REIMEX SL,Cantabria/SANTOÑA,"CS, RW, PP",,,
12.07570/S,MIGUEL SOLANO BUSTAMANTE,Cantabria/SANTOÑA,PP,,,
12.08307/S,MARISCOS RAOS S.L.,Cantabria/MALIAÑO,"CS, RW, DC, PC",,,
12.08375/S,LUCIANO ZUBIETA URAGA,Cantabria/ISLA,PP,,,
12.08616/S,INDUSTRIAS Y CULTIVOS MARINOS S.A.,Cantabria/COMILLAS,"DC, PC",,,
12.08879/S,FRIOLOGIC SANTANDER SA,Cantabria/SANTANDER,CS,,,
12.09061/S,SEMARK AC GROUP SA,Cantabria/SANTANDER,CS,,,
12.09199/S,CONSERVAS VELMAR S.L.,Cantabria/COLINDRES,"RW, PP",,,
12.09200/S,PESCASANTOÑA S.L.,Cantabria/SANTOÑA,"CS, PP, FFP",,,
12.09492/S,SUCESORES DE CONSERVAS REVUELTA HERMANOS S.L.,Cantabria/COLINDRES,"CS, PP",,,
12.09601/S,VIVEROS EL MOLINO DE LA MARUCA SL,Cantabria/SANTANDER,"PP, DC, PC, FFP",,,
12.09861/S,JESUS SIERRA CASTAÑEDA,Cantabria/NOJA,PP,,,
12.09895/S,CONSERVAS ANA MARIA S.L.,Cantabria/SANTOÑA,PP,,,
12.09925/S,CONSERVERA LAREDANA S.L.,Cantabria/LAREDO,"RW, PP",,,
12.09945/S,SOCIEDAD COOPERATIVA LIMITADA MARISQUERA Y PESQUERA AMBOJO,Cantabria/PEDREÑA,"CS, DC, PC",,,
12.10110/S,CONSERVAS ANGELACHU S.L.,Cantabria/SANTOÑA,"RW, PP",,,
12.10208/S,NORD KING SL,Cantabria/LAREDO,"RW, PP",,,
12.10244/S,PESCADOS IBAÑEZ S.A.,Cantabria/SANTOÑA,"CS, PP",,,
12.10262/S,MARIA NIEVES LOYOLA PEREZ,Cantabria/SANTOÑA,PP,,,
12.10301/S,CARLANMAR S.L.,Cantabria/SANTOÑA,PP,,,
12.10326/S,PESCAMAR MANRIQUE SLU,Cantabria/MALIAÑO,"CS, FFP",,,
12.10404/S,GEMAS DEL MAR S.L.,Cantabria/HERAS,"CS, PP, FFP",,,
12.10442/S,CONSERVAS SELECCION SANTOÑESA S.L.,Cantabria/SANTOÑA,PP,,,
12.10445/S,CONSERVAS CATALINA 2014 SL,Cantabria/SANTOÑA,PP,,,
12.10552/S,SISTEMAS BRITOR SLU,Cantabria/SANTANDER,"PP, FFP",,,
14.00416/S,GRANJA A.V.H. S.L.,Cantabria/LIERGANES,EPC,,,
14.00775/S,MARIA PILAR PALACIO PRESMANES,Cantabria/LIERGANES,EPC,,,
14.00783/S,CLEMENTE DIAZ GARCIA,Cantabria/CUDON,EPC,,,
14.00830/S,JUAN FRANCISCO PORTILLA LÓPEZ,Cantabria/TARRIBA,"CS, EPC",,,
14.00915/S,NICOLAS PRADO GONZALEZ,Cantabria/CUDON,CS,,,
14.01206/S,AVICOLA CANTABRIA S.L.,Cantabria/CECEÑAS,EPC,,,
14.01230/S,AVICOLA LAREDANA S.C.,Cantabria/LAREDO,EPC,,,
14.01238/S,GRANJA PONTANA SL,Cantabria/AGÜERO,EPC,,,
14.01670/S,RAMON INDALECIO ABASCAL PEREZ,Cantabria/CELIS,EPC,,,
15.00008/S,ANDROS LA SERNA SLU,Cantabria/SERNA (LA),"PP, CC",,,
15.00047/S,"ANDIA LACTEOS DE CANTABRIA, SLU",Cantabria/RENEDO,PP,,,
15.00073/S,LACTEOS COLINDRES S.L.,Cantabria/COLINDRES,PP,,,
15.00126/S,HEREDEROS DE TOMAS RUIZ S.L.,Cantabria/RIOTUERTO,"PP, CC",,,
15.00141/S,QUESERIA LAFUENTE SAU,Cantabria/HERAS,"RW, PP",,,
15.00291/S,CISTERCIENSE ORDEN VIACELI,Cantabria/ALFOZ DE LLOREDO,PP,,,
15.00397/S,NESTLE ESPAÑA S.A.,Cantabria/PENILLA (LA),"CS, PP",,,
15.00430/S,QUESOS DE RUESGA SL,Cantabria/VALLE,"CS, PP",,,
15.00441/S,EL BUEN PASTOR S.L.,Cantabria/SAN VICENTE DE TORANZO,PP,,,
15.00512/S,QUESOS PRAMA S.L.,Cantabria/RAMALES DE LA VICTORIA,PP,,,
15.01086/S,FRANCISCO JAVIER CAMPO CAMPO,Cantabria/TRESVISO,PP,,,
15.01101/S,TRINIDAD BESOY GONZALEZ,Cantabria/CAMALEÑO,PP,,,
15.01135/S,JUAN CARLOS MARTINEZ CASARES,Cantabria/CAMALEÑO,PP,,,
15.01137/S,PEDRO ANTONIO VELARDE COLLADO,Cantabria/PENDES,PP,,,
15.01138/S,LUIS ALBERTO ALLES CAMPO,Cantabria/BEJES,PP,,,
15.01188/S,ANTONIO CARLOS ROSAS LAMADRID,Cantabria/CABEZON DE LIEBANA,PP,,,
15.01241/S,S.A.T. AMAVI LACTEOS PEÑA QUEBRADA,Cantabria/RAMALES DE LA VICTORIA,PP,,,
15.01268/S,ANTONIO TOMAS SANCHEZ BRIZ,Cantabria/PIDO,PP,,,
15.01299/S,TOMAS CABEZA BRAVO,Cantabria/BEJES,PP,,,
15.01374/S,MARIA JESUS CAMACHO GONZALO,Cantabria/CAMALEÑO,PP,,,
15.01377/S,MARIA ISABEL CASARES TEJON,Cantabria/BARO,PP,,,
15.01505/S,GABRIEL GOMEZ BERGES,Cantabria/SOPEÑA,PP,,,
15.01610/S,LA LOLLA SC,Cantabria/CABEZON DE LIEBANA,PP,,,
15.01622/S,MILAGROS LOMBERA GUTIERREZ,Cantabria/AMPUERO,PP,,,
15.01760/S,S.A.T. JARRADILLA,Cantabria/TEZANOS,PP,,,
15.01780/S,YOLANDA GONZALEZ SEVILLA,Cantabria/RUERRERO,PP,,,
15.02142/S,LUIS MUGICA MENA,Cantabria/ISLARES,PP,,,
15.02150/S,VALLES UNIDOS DEL ASON SCDAD COOP,Cantabria/RUESGA,"CS, CC",,,
15.02568/S,TERESA MARIN REAL,Cantabria/ROIZ,PP,,,
15.02580/S,LACTODUERO SA,Cantabria/LIAÑO,"CS, CC",,,
15.02965/S,LACTEOS DE SANTANDER S.A.,Cantabria/SAN MIGUEL DE MERUELO,PP,,,
