"Nº RGSEAA (*)","Razón Social","Provincia/Localidad","Actividades","Especies (**)","Otros Detalles","TSE Feed Ban"
"12.06130/M","MERCAMADRID S.A.","Madrid/MADRID","WM",,,
"12.06136/H","JUAN JESUS ROMERO E HIJOS S.A.","Huelva/AYAMONTE","RW, PP, FFP",,,
"12.06145/LU","LOPEZ CAZAS, S.L.","Lugo/BURELA","RW",,,
"12.06171/A","COFRADIA DE PESCADORES DE XABIA","Alicante/Alacant/JAVEA/XABIA","RW, AH",,,
"12.06176/CA","MUÑOZ PAREJA Y RAMIREZ S.L.","Cádiz/CADIZ","RW",,,
"12.06178/CA","FRESCADIZ S.L.","Cádiz/CADIZ","RW, FFP",,,
"12.06179/CA","PEREZ BARCA, EPIFANIO","Cádiz/CADIZ","RW, FFP",,,
"12.06186/CA","MORILLO MARCHANTE, MANUEL","Cádiz/CADIZ","RW, FFP",,,
"12.06188/CA","SANTIAGO GOMEZ, SALUSTIANO","Cádiz/CADIZ","RW, FFP",,,
"12.06189/CA","PESCADOS NAVARRETE REYES S.L.","Cádiz/CADIZ","RW",,,
"12.06191/CA","GADITANA DE PESCADOS S.L.","Cádiz/CADIZ","CS, PP, FFP",,,
"12.06192/CA","PESCADOS RIOBO S.L.","Cádiz/CADIZ","CS, FFP",,,
"12.06198/CO","MERCADOS CENTRALES DE ABASTECIMIENTO DE CORDOBA MERCACORDOBA S.A.","Córdoba/CORDOBA","WM",,,
"12.06213/M","MARISMAR S.A.","Madrid/MADRID","CS",,,
"12.06236/C","PESCADOS Y MARISCOS MAXIMINO SL","Coruña, A/CARNOTA","RW",,,
"12.06244/M","CORTES Y FAMILIA S.L.","Madrid/MADRID","CS, RW, WM",,,
"12.06287/M","PUERTO MADRID, S.A.","Madrid/MADRID","RW, WM",,,
"12.06306/M","PESCADOS CORAL S.A.","Madrid/MADRID","CS, RW, WM",,,
"12.06308/M","PESCADOS LOPEZ JABATO, S.L.","Madrid/MADRID","RW, WM",,,
"12.06317/O","PESCADOS Y MARISCOS VILLA CARMEN SL","Asturias/ALMUÑA","CS, RW, PP",,,
"12.06326/AL","HIJOS DE MIGUEL SANTANDER S.L.","Almería/ALMERIA","RW",,,
"12.06331/AL","CONGELADOS MAR DE ALMERIA S.L.","Almería/ALMERIA","CS",,,
"12.06356/AL","PESCABELMONTE S.L.","Almería/CARBONERAS","CS, PP, FFP",,,
"12.06368/PO","BATEAMAR, S. L.","Pontevedra/CAMBADOS","CS, PP",,,
"12.06385/CA","RODRIGUEZ CAMPAÑA, MANUEL","Cádiz/CADIZ","RW",,,
"12.06393/CA","FRIGORIFICOS COSTASUR S.L.","Cádiz/CHICLANA DE LA FRONTERA","CS, PP, FFP",,,
"12.06394/CA","RICARDO FUENTES E HIJOS- CADIZ S.A.","Cádiz/CADIZ","CS, PP, FFP",,,
"12.06405/M","ANGEL MOZOS RAMIREZ S.L.","Madrid/MADRID","CS, RW, WM",,,
"12.06407/V","AHUMADOS SABAL, S.L.","Valencia/València/MASSANASSA","CS, PP",,,
"12.06452/CA","PERUMASA S.L.","Cádiz/BARBATE","RW",,,
"12.06453/CA","CORTEMAR S.L.","Cádiz/CADIZ","CS, PP",,,
"12.06461/H","MARISCOS HUELVA MAR S.L.","Huelva/HUELVA","CS, PP, FFP",,,
"12.06462/H","BARROSO Y CAÑON S.L.","Huelva/HUELVA","RW, PP, FFP",,,
"12.06466/H","C.B. PESCADOS Y MARISCOS TONI","Huelva/HUELVA","RW, PP",,,
"12.06487/M","MARISCOS DELFIN S.A.","Madrid/MADRID","CS, RW, WM",,,
"12.06492/M","EL CORTE INGLES, S.A.","Madrid/MADRID","WM",,,
